Visible or Deactivate (Hidden)?,Column1,Level Nothing ,Level 1,Level 1 Name,Level 2,Level 2 Name,Clarifications / Additional notes on coverage,Level 3 Code,Level 3 Name
,222,Information and communication technology (ICT),220,Communications,22040,Information and communication technology (ICT),Computer hardware and software; internet access; IT training.  When sector cannot be specified. ,2204003,Data for Decision Making
,223,Information and communication technology (ICT),220,Communications,22040,Information and communication technology (ICT),Computer hardware and software; internet access; IT training.  When sector cannot be specified. ,2204004,ICT Implementation 
,224,Information and communication technology (ICT),220,Communications,22040,Information and communication technology (ICT),Computer hardware and software; internet access; IT training.  When sector cannot be specified. ,2204005,ICT Training
Hidden,215,Information and communication technology (ICT),220,Communications,22044,"Communications policy, planning and administration",,0,Unspecified
,226,Environment,231,Energy Policy,23110,Energy policy and administrative management,"Energy sector policy, planning; aid to energy ministries; institution capacity building and advice; unspecified energy activities.",2311001,Energy Policy
Hidden,227,Environment,231,Energy Policy,23111,"Energy sector policy, planning and administration",,0,Unspecified
Hidden,228,Environment,231,Energy Policy,23112,Energy regulation,"Regulation of the energy sector, including wholesale and retail electricity provision.",0,Unspecified
,229,Environment,231,Energy Policy,23181,Energy education/training,All levels of training not included elsewhere.,0,Unspecified
,230,Environment,231,Energy Policy,23182,Energy research,"Including general inventories, surveys.",0,Unspecified
,231,Environment,231,Energy Policy,23183,Energy conservation and demand-side efficiency,"All projects in support of energy demand reduction, e.g. building and industry upgrades, smart grids, metering and tariffs. Also includes efficient cook-stoves and biogas projects.",2318301,Energy Efficiency
,232,Environment,232,"Energy generation, renewable sources",23210,"Energy generation, renewable sources - multiple technologies",Renewable energy generation programmes that cannot be attributed to one single technology (codes 23220 through 23280 below). Fuelwood/charcoal production should be included under forestry 31261.,2321001,Clean Energy
,233,Environment,232,"Energy generation, renewable sources",23210,"Energy generation, renewable sources - multiple technologies",Renewable energy generation programmes that cannot be attributed to one single technology (codes 23220 through 23280 below). Fuelwood/charcoal production should be included under forestry 31261.,2321002,Renewable Energy
,234,Environment,232,"Energy generation, renewable sources",23220,Hydro-electric power plants,Including energy generating river barges.,0,Unspecified
,235,Environment,232,"Energy generation, renewable sources",23230,Solar energy,"Including photo-voltaic cells, solar thermal applications and solar heating.",0,Unspecified
,236,Environment,232,"Energy generation, renewable sources",23240,Wind energy,Wind energy for water lifting and electric power generation.,0,Unspecified
,237,Environment,232,"Energy generation, renewable sources",23250,Marine energy,"Including ocean thermal energy conversion, tidal and wave power.",0,Unspecified
,238,Environment,232,"Energy generation, renewable sources",23260,Geothermal energy,"Use of geothermal energy for generating electric power or directly as heat for agriculture, etc.",0,Unspecified
,239,Environment,232,"Energy generation, renewable sources",23270,Biofuel-fired power plants,"Use of solids and liquids produced from biomass for direct power generation. Also includes biogases from anaerobic fermentation (e.g. landfill gas, sewage sludge gas, fermentation of energy crops and manure) and thermal processes (also known as syngas); waste-fired power plants making use of biodegradable municipal waste (household waste and waste from companies and public services that resembles household waste, collected at installations specifically designed for their disposal with recovery of combustible liquids, gases or heat). See code 23360 for non- renewable waste-fired power plants.",0,Unspecified
Hidden,240,Environment,233,"Energy generation, non-renewable sources",23310,"Energy generation, non-renewable sources, unspecified",Thermal power plants including when energy source cannot be determined; combined gas-coal power plants.,0,Unspecified
,241,Environment,233,"Energy generation, non-renewable sources",23320,Coal-fired electric power plants,Thermal electric power plants that use coal as the energy source.,0,Unspecified
,242,Environment,233,"Energy generation, non-renewable sources",23330,Oil-fired electric power plants,Thermal electric power plants that use fuel oil or diesel fuel as the energy source.,0,Unspecified
,243,Environment,233,"Energy generation, non-renewable sources",23340,Natural gas-fired electric power plants,Electric power plants that are fuelled by natural gas.,0,Unspecified
,244,Environment,233,"Energy generation, non-renewable sources",23350,Fossil fuel electric power plants with carbon capture and storage (CCS),Fossil fuel electric power plants employing technologies to capture carbon dioxide emissions. CCS not related to power plants should be included under 41020. CCS activities are not reportable as ODA.,0,Unspecified
,245,Environment,233,"Energy generation, non-renewable sources",23360,Non-renewable waste-fired electric power plants,Electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,0,Unspecified
,246,Environment,234,Hybrid energy plants,23410,Hybrid energy electric power plants,Electric power plants that make use of both non-renewable and renewable energy sources.,0,Unspecified
Hidden,247,Environment,235,Nuclear energy plants,23510,Nuclear energy electric power plants,Including nuclear safety.,0,Unspecified
Hidden,248,Environment,236,Energy distribution,23610,Heat plants,Power plants which are designed to produce heat only.,0,Unspecified
Hidden,249,Environment,236,Energy distribution,23620,District heating and cooling,"Distribution of heat generated in a centralised location, or delivery of chilled water, for residential and commercial heating or cooling purposes.",0,Unspecified
,250,Environment,236,Energy distribution,23630,Electric power transmission and distribution,"Grid distribution from power source to end user; transmission lines. Also includes storage of energy to generate power (e.g. pumped hydro, batteries) and the extension of grid access, often to rural areas.",0,Unspecified
,251,Environment,236,Energy distribution,23640,Gas distribution,Delivery for use by ultimate consumer.,0,Unspecified
hidden,253,Economic Growth,240,Banking & Financial Services,24000,Banking & Financial Services,,0,Unspecified
,254,Economic Growth,240,Banking & Financial Services,24010,Financial policy and administrative management,"Finance sector policy, planning and programmes; institution capacity building and advice; financial markets and systems.",2401001,Financial sector infrastructure development (institutions and regulations)
,255,Economic Growth,240,Banking & Financial Services,24020,Monetary institutions,Central banks.,0,Unspecified
,256,Economic Growth,240,Banking & Financial Services,24030,Formal sector financial intermediaries,"All formal sector financial intermediaries; credit lines; insurance, leasing, venture capital, etc. (except when focused on only one sector).",2403001,"Industrial, Commercial, and Consumer Value Chain Finance"
,257,Economic Growth,240,Banking & Financial Services,24040,Informal/semi-formal financial intermediaries,"Micro credit, savings and credit co-operatives etc.",0,Unspecified
hidden,258,Economic Growth,240,Banking & Financial Services,24050,"Remittance facilitation, promotion and optimisation","Includes programmes aiming at reducing the costs of transferring remittances, incl. sending, transmission and receiving costs, and programmes encouraging remittances and/or increasing their developmental impact. Support to statistical capacity building aiming at improving data on remittances is recorded under code 16062. Research on the development potential of remittances is recorded under code 43082.",0,Unspecified
hidden,259,Economic Growth,240,Banking & Financial Services,24081,Education/training in banking and financial services,,0,Unspecified
,260,Economic Growth,250,Business & Other Services,25000,Business & Other Services,,0,Unspecified
,261,Economic Growth,250,Business & Other Services,25010,Business support services and institutions,"Support to trade and business associations, chambers of commerce; legal and regulatory reform aimed at improving business and investment climate; private sector institution capacity building and advice; trade information; public-private sector networking including trade fairs; e-commerce.  Where sector cannot be specified: general support to private sector enterprises (in particular, use code 32130 for enterprises in the industrial sector).",0,Unspecified
,262,Economic Growth,250,Business & Other Services,25020,Privatisation,"When sector cannot be specified. Including general state enterprise restructuring or demonopolisation programmes; planning, programming, advice.",0,Unspecified
,264,Agriculture,311,Agriculture,31110,Agricultural policy and administrative management,"Agricultural sector policy, planning and programmes; aid to agricultural ministries;  institution capacity building and advice; unspecified agriculture.",3111001,Food Security Policy 
,265,Agriculture,311,Agriculture,31120,Agricultural development,Integrated projects; farm development.,0,Unspecified
,266,Agriculture,311,Agriculture,31130,Agricultural land resources,"Including soil degradation control; soil improvement; drainage of water logged areas; soil desalination; agricultural land surveys; land reclamation; erosion control, desertification control.",0,Unspecified
,267,Agriculture,311,Agriculture,31140,Agricultural water resources,"Irrigation, reservoirs, hydraulic structures, ground water exploitation for agricultural use.",0,Irrigation
,268,Agriculture,311,Agriculture,31150,Agricultural inputs,"Supply of seeds, fertilizers, agricultural machinery/equipment.",3115001,"Seed and Input Supply, Agro-Dealers"
,269,Agriculture,311,Agriculture,31161,Food crop production,"Including grains (wheat, rice, barley, maize, rye, oats, millet, sorghum); horticulture; vegetables; fruit and berries; other annual and perennial crops. [Use code 32161 for agro-industries.]",3116101,Agricultural Productivity
,270,Agriculture,311,Agriculture,31161,Food crop production,"Including grains (wheat, rice, barley, maize, rye, oats, millet, sorghum); horticulture; vegetables; fruit and berries; other annual and perennial crops. [Use code 32161 for agro-industries.]",3116102,"Horticulture (Fruits and Vegetables, Flowers and Ornamentals, Beverage Crops, Herbs, Spices and Medicinal Plants)    "
,271,Agriculture,311,Agriculture,31162,Industrial crops/export crops,"Including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber.  [Use code 32161 for agro-industries.]",0,Unspecified
,272,Agriculture,311,Agriculture,31163,Livestock,Animal husbandry; animal feed aid.,3116301,Livestock; Dairy
,273,Agriculture,311,Agriculture,31163,Livestock,Animal husbandry; animal feed aid.,3116302,"Small Ruminants (sheep, goats)"
,274,Agriculture,311,Agriculture,31163,Livestock,Animal husbandry; animal feed aid.,3116303,Animal feed and health
Hidden,275,Agriculture,311,Agriculture,31164,Agrarian reform,Including agricultural sector adjustment.,0,Unspecified
,276,Agriculture,311,Agriculture,31165,Agricultural alternative development,Projects to reduce illicit drug cultivation through other agricultural marketing and production opportunities (see code 43050 for non-agricultural alternative development).,0,Unspecified
,277,Agriculture,311,Agriculture,31166,Agricultural extension,Non-formal training in agriculture.,3116601,Agricultural Training and Extension
,278,Agriculture,311,Agriculture,31181,Agricultural education/training,,0,Unspecified
,279,Agriculture,311,Agriculture,31182,Agricultural research,"Plant breeding, physiology, genetic resources, ecology, taxonomy, disease control, agricultural bio-technology; including livestock research (animal health, breeding and genetics, nutrition, physiology).",3118201,Agricultural Research and Development (R&D)
,280,Agriculture,311,Agriculture,31191,Agricultural services,"Marketing policies & organisation; storage and transportation, creation of strategic reserves.",3119101,Mechanization/Power
,281,Agriculture,311,Agriculture,31191,Agricultural services,"Marketing policies & organisation; storage and transportation, creation of strategic reserves.",3119102,value chain analysis
,282,Agriculture,311,Agriculture,31191,Agricultural services,"Marketing policies & organisation; storage and transportation, creation of strategic reserves.",3119103,"Processing, value addition"
,283,Agriculture,311,Agriculture,31192,Plant and post-harvest protection and pest control,"Including integrated plant protection, biological plant protection activities, supply and management of agrochemicals, supply of pesticides, plant protection policy and legislation.",3119201,"Post-Harvest Handling, Storage, and Transport"
,284,Agriculture,311,Agriculture,31192,Plant and post-harvest protection and pest control,"Including integrated plant protection, biological plant protection activities, supply and management of agrochemicals, supply of pesticides, plant protection policy and legislation.",3119202,"Agricultural Health (Sanitary/Veterinary) and Phytosanitary (Pest, Disease, Weed) Management and Regulation)"
,285,Agriculture,311,Agriculture,31193,Agricultural financial services,Financial intermediaries for the agricultural sector including credit schemes; crop insurance.,3119301,Agricultural/Agribusiness Value Chain Finance
,286,Agriculture,311,Agriculture,31194,Agricultural co-operatives,Including farmers’ organisations.,0,Unspecified
,287,Agriculture,311,Agriculture,31195,Livestock/veterinary services,"Animal health and management, genetic resources, feed resources.",0,Unspecified
,288,Environment,312,Forestry,31210,Forestry policy and administrative management,"Forestry sector policy, planning and programmes; institution capacity building and advice; forest surveys; unspecified forestry and agro-forestry activities.",0,Unspecified
,289,Environment,312,Forestry,31220,Forestry development,"Afforestation for industrial and rural consumption; exploitation and utilisation; erosion control, desertification control; integrated forestry projects.",3120001,Forests
,290,Environment,312,Forestry,31220,Forestry development,"Afforestation for industrial and rural consumption; exploitation and utilisation; erosion control, desertification control; integrated forestry projects.",3120002,Agroforestry
,291,Environment,312,Forestry,31220,Forestry development,"Afforestation for industrial and rural consumption; exploitation and utilisation; erosion control, desertification control; integrated forestry projects.",3120003,REDD+
,292,Environment,312,Forestry,31261,Fuelwood/charcoal,Forestry development whose primary purpose is production of fuelwood and charcoal.,0,Unspecified
,293,Environment,312,Forestry,31281,Forestry education/training,,0,Unspecified
,294,Environment,312,Forestry,31282,Forestry research,"Including artificial regeneration, genetic improvement, production methods, fertilizer, harvesting.",0,Unspecified
Hidden,295,Environment,312,Forestry,31291,Forestry services,,0,Unspecified
,296,Environment,313,Fishing,31310,Fishing policy and administrative management,"Fishing sector policy, planning and programmes; institution capacity building and advice; ocean and coastal fishing; marine and freshwater fish surveys and prospecting; fishing boats/equipment; unspecified fishing activities.",0,Unspecified
,297,Environment,313,Fishing,31320,Fishery development,Exploitation and utilisation of fisheries; fish stock protection; aquaculture; integrated fishery projects.,3130001,"Fisheries, Aquaculture, Mariculture"
,298,Environment,313,Fishing,31381,Fishery education/training,,0,Unspecified
,299,Environment,313,Fishing,31382,Fishery research,Pilot fish culture; marine/freshwater biological research.,0,Unspecified
Hidden,300,Environment,313,Fishing,31391,Fishery services,Fishing harbours; fish markets; fishery transport and cold storage.,0,Unspecified
,302,Economic Growth,321,Industry,32100,Industry,,0,Unspecified
,303,Economic Growth,321,Industry,32110,Industrial policy and administrative management,"Industrial sector policy, planning and programmes; institution capacity building and advice; unspecified industrial activities; manufacturing of goods not specified below.",0,Unspecified
,304,Economic Growth,321,Industry,32120,Industrial development,,0,Unspecified
,305,Economic Growth,321,Industry,32130,Small and medium-sized enterprises (SME) development,"Direct support to the development of small and medium-sized enterprises in the industrial sector, including accounting, auditing and advisory services.",0,Unspecified
,306,Economic Growth,321,Industry,32140,Cottage industries and handicraft,,0,Unspecified
,307,Economic Growth,321,Industry,32161,Agro-industries,"Staple food processing, dairy products, slaughter houses and equipment, meat and fish processing and preserving, oils/fats, sugar refineries, beverages/tobacco, animal feeds production.",3216101,"Marketing, Wholesale and Retail, Supermarkets, Structured Trade"
,308,Economic Growth,321,Industry,32161,Agro-industries,"Staple food processing, dairy products, slaughter houses and equipment, meat and fish processing and preserving, oils/fats, sugar refineries, beverages/tobacco, animal feeds production.",3216102,"Food Safety and Codes of Practice (GAP, Global-GAP, BRC, GMP, HACCP, ISO, Traceability, Fair Trade)"
,309,Economic Growth,321,Industry,32162,Forest industries,"Wood production, pulp/paper production.",0,Unspecified
,310,Economic Growth,321,Industry,32163,"Textiles, leather and substitutes",Including knitting factories.,0,Unspecified
hidden,311,Economic Growth,321,Industry,32164,Chemicals,Industrial and non-industrial production facilities; includes pesticides production.,0,Unspecified
hidden,312,Economic Growth,321,Industry,32165,Fertilizer plants,,0,Unspecified
hidden,313,Economic Growth,321,Industry,32166,Cement/lime/plaster,,0,Unspecified
hidden,314,Economic Growth,321,Industry,32167,Energy manufacturing,Including gas liquefaction; petroleum refineries.,0,Unspecified
hidden,315,Economic Growth,321,Industry,32168,Pharmaceutical production,"Medical equipment/supplies; drugs, medicines, vaccines; hygienic products.",0,Unspecified
hidden,316,Economic Growth,321,Industry,32169,Basic metal industries,"Iron and steel, structural metal production.",0,Unspecified
hidden,317,Economic Growth,321,Industry,32170,Non-ferrous metal industries,,0,Unspecified
,318,Economic Growth,321,Industry,32171,Engineering,"Manufacturing of electrical and non-electrical machinery, engines/turbines.",0,Unspecified
hidden,319,Economic Growth,321,Industry,32172,Transport equipment industry,"Shipbuilding, fishing boats building; railroad equipment; motor vehicles and motor passenger cars; aircraft; navigation/guidance systems.",0,Unspecified
,320,Economic Growth,321,Industry,32182,Technological research and development,Including industrial standards; quality management; metrology;  testing;  accreditation;  certification.,0,Unspecified
,321,Environment,322,Mineral Resources & Mining,32210,Mineral/mining policy and administrative management,"Mineral and mining sector policy, planning and programmes;  mining legislation, mining cadastre, mineral resources inventory, information systems, institution capacity building and advice;  unspecified mineral resources exploitation.",0,Unspecified
,322,Environment,322,Mineral Resources & Mining,32220,Mineral prospection and exploration,"Geology, geophysics, geochemistry;  excluding hydrogeology (14010) and environmental geology (41010), mineral extraction and processing, infrastructure, technology, economics, safety and environment management.",0,Unspecified
,323,Environment,322,Mineral Resources & Mining,32261,Coal,Including lignite and peat.,0,Unspecified
,324,Environment,322,Mineral Resources & Mining,32262,Oil and gas,"Petroleum, natural gas, condensates, liquefied petroleum gas (LPG), liquefied natural gas (LNG);  including drilling and production, and oil and gas pipelines.",0,Unspecified
Hidden,325,Environment,322,Mineral Resources & Mining,32263,Ferrous metals,Iron and ferro-alloy metals.,0,Unspecified
,326,Environment,322,Mineral Resources & Mining,32264,Nonferrous metals,"Aluminium, copper, lead, nickel, tin, zinc.",0,Unspecified
,327,Environment,322,Mineral Resources & Mining,32265,Precious metals/materials,"Gold, silver, platinum, diamonds, gemstones.",0,Unspecified
Hidden,328,Environment,322,Mineral Resources & Mining,32266,Industrial minerals,"Baryte, limestone, feldspar, kaolin, sand, gypsym, gravel, ornamental stones.",0,Unspecified
Hidden,329,Environment,322,Mineral Resources & Mining,32267,Fertilizer minerals,"Phosphates, potash.",0,Unspecified
Hidden,330,Environment,322,Mineral Resources & Mining,32268,Offshore minerals,"Polymetallic nodules, phosphorites, marine placer deposits.",0,Unspecified
,331,Environment,323,Construction,32310,Construction policy and administrative management,"Construction sector policy and planning; excluding construction activities within specific sectors (e.g., hospital or school construction).",0,Unspecified
,333,Economic Growth,331,Trade Policies & Regulations,33100,Trade Policies & Regulations,,0,Unspecified
,334,Economic Growth,331,Trade Policies & Regulations,33110,Trade policy and administrative management,Trade policy and planning; support to ministries and departments responsible for trade policy; trade-related legislation and regulatory reforms; policy analysis and implementation of multilateral trade agreements e.g. technical barriers to trade and sanitary and phytosanitary measures (TBT/SPS) except at regional level (see 33130); mainstreaming trade in national development strategies (e.g. poverty reduction strategy papers); wholesale/retail trade; unspecified trade and trade promotion activities.,0,Unspecified
,335,Economic Growth,331,Trade Policies & Regulations,33120,Trade facilitation,"Simplification and harmonisation of international import and export procedures (e.g. customs valuation, licensing procedures, transport formalities, payments, insurance); support to customs departments  and other border agencies, including in particular implementation of the provisions of the WTO Trade Facilitation Agreement; tariff reforms.",0,Unspecified
,336,Economic Growth,331,Trade Policies & Regulations,33130,Regional trade agreements (RTAs),"Support to regional trade arrangements [e.g. Southern African Development Community (SADC), Association of Southeast Asian Nations (ASEAN), Free Trade Area of the Americas (FTAA), African Caribbean Pacific/European Union (ACP/EU)], including work on technical barriers to trade and sanitary and phytosanitary measures (TBT/SPS) at regional level; elaboration of rules of origin and introduction of special and differential treatment in RTAs.",0,Unspecified
Hidden,337,Economic Growth,331,Trade Policies & Regulations,33140,Multilateral trade negotiations,"Support developing countries’ effective participation in multilateral trade negotiations, including training of negotiators, assessing impacts of negotiations; accession to the World Trade Organisation (WTO) and other multilateral trade-related organisations.",0,Unspecified
Hidden,338,Economic Growth,331,Trade Policies & Regulations,33150,Trade-related adjustment,Contributions to the government budget to assist the implementation of recipients' own trade reforms and adjustments to trade policy measures by other countries; assistance to manage shortfalls in the balance of payments due to changes in the world trading environment. ,0,Unspecified
,339,Economic Growth,331,Trade Policies & Regulations,33181,Trade education/training,Human resources development in trade not included under any of the above codes.  Includes university programmes in trade.,3318101,Trade Capacity Building 
Hidden,340,Economic Growth,332,Tourism,33200,Tourism,,0,Unspecified
,341,Economic Growth,332,Tourism,33210,Tourism policy and administrative management,,0,Unspecified
,342,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101001,Environmental policy
,343,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101002,Environmental assessment
,344,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101003,Environmental compliance
,345,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101004,Sustainable Landscapes
,346,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101005,Indigenous People
,347,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101006,Resettlement
,348,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101007,Natural Resources Management
,349,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101008,Climate Change
,350,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101009,Climate Change Mitigation
,351,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101010,Low emissions development strategies
,352,Environment,410,General Environment Protection,41010,Environmental policy and administrative management,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.",4101011,Climate Policy
,353,Environment,410,General Environment Protection,41020,Biosphere protection,"Air pollution control, ozone layer preservation; marine pollution control.",0,Unspecified
,354,Environment,410,General Environment Protection,41030,Bio-diversity,Including natural reserves and actions in the surrounding areas; other measures to protect endangered or vulnerable species and their habitats (e.g. wetlands preservation).,4103001,Biodiversity
,355,Environment,410,General Environment Protection,41030,Bio-diversity,Including natural reserves and actions in the surrounding areas; other measures to protect endangered or vulnerable species and their habitats (e.g. wetlands preservation).,4103002,Ecosystem services
,356,Environment,410,General Environment Protection,41030,Bio-diversity,Including natural reserves and actions in the surrounding areas; other measures to protect endangered or vulnerable species and their habitats (e.g. wetlands preservation).,4103003,Wildlife
,357,Environment,410,General Environment Protection,41030,Bio-diversity,Including natural reserves and actions in the surrounding areas; other measures to protect endangered or vulnerable species and their habitats (e.g. wetlands preservation).,4103004,Wetlands
,358,Environment,410,General Environment Protection,41040,Site preservation,,4104001,Protected areas
,359,Environment,410,General Environment Protection,41040,Site preservation,,4104002,Cultural resources
,360,Environment,410,General Environment Protection,41050,Flood prevention/control,Floods from rivers or the sea; including sea water intrusion control and sea level rise related activities.,0,Unspecified
,361,Environment,410,General Environment Protection,41081,Environmental education/training,,0,Unspecified
,362,Environment,410,General Environment Protection,41082,Environmental research,"Including establishment of databases, inventories/accounts of physical and natural resources; environmental profiles and impact studies if not sector specific.",0,Unspecified
hidden,385,Economic Growth,430,Business & Other Services,43000,Other Multi,,0,Unspecified
Hidden,364,Environment,430,Other Multisector,43010,Multisector aid,,0,Unspecified
Hidden,384,Environment,430,Other Multisector,43012,Rural development,Integrated rural development projects; implementation of regional development and measures (including natural reserve management); land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas.,0,Unspecified
,365,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303001,Land Administration
,366,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303002,Land Use Planning and Investment
,367,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303003,Land Policy
,368,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303004,Land Tenure
,369,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303005,Land Management Information Systems
,370,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303006,Land registration
,371,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303007,Property Rights
,372,Environment,430,Other Multisector,43030,Urban development and management,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,4303008,Cadastral Survey 
Hidden,373,Environment,430,Other Multisector,43031,Urban land policy and management,"Urban development and planning; urban management, land information systems.",0,Unspecified
Hidden,374,Environment,430,Other Multisector,43032,Urban development,Integrated urban development projects; local development; urban infrastructure and services; municipal finances; urban environment systems; urban renewal and urban housing.,0,Unspecified
,375,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304001,Land Administration
,376,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304002,Land Use Planning and Investment
,377,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304003,Land Policy
,378,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304004,Land Tenure
,379,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304005,Land Management Information Systems
,380,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304006,Land registration
,381,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304007,Property Rights
,382,Environment,430,Other Multisector,43040,Rural development,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.",4304008,Cadastral Survey 
